eno,ename,deptno,Salary
1,Employee_1,40.0,1664
2,Employee_2,20.0,2932
3,Employee_3,40.0,5613
4,Employee_4,30.0,8527
5,Employee_5,30.0,1437
6,Employee_6,30.0,2457
7,Employee_7,20.0,7839
8,Employee_8,20.0,1733
9,Employee_9,10.0,3457
10,Employee_10,20.0,9321
11,Employee_11,10.0,1879
12,Employee_12,30.0,2779
13,Employee_13,20.0,1459
14,Employee_14,40.0,9062
15,Employee_15,50.0,5505
16,Employee_16,40.0,2038
17,Employee_17,20.0,6636
18,Employee_18,10.0,2071
19,Employee_19,50.0,5785
20,Employee_20,20.0,8709
21,Employee_21,50.0,3783
22,Employee_22,20.0,9066
23,Employee_23,30.0,9428
24,Employee_24,30.0,9889
25,Employee_25,10.0,7628
26,Employee_26,40.0,8473
27,Employee_27,40.0,4935
28,Employee_28,20.0,8161
29,Employee_29,20.0,9760
30,Employee_30,30.0,1427
31,Employee_31,30.0,6099
32,Employee_32,10.0,4185
33,Employee_33,,4894
34,Employee_34,40.0,6551
35,Employee_35,30.0,4054
36,Employee_36,20.0,4283
37,Employee_37,40.0,8207
38,Employee_38,50.0,8330
39,Employee_39,30.0,6101
40,Employee_40,30.0,6654
41,Employee_41,10.0,2688
42,Employee_42,50.0,7067
43,Employee_43,40.0,7678
44,Employee_44,10.0,5965
45,Employee_45,30.0,7529
46,Employee_46,50.0,6497
47,Employee_47,10.0,8101
48,Employee_48,20.0,3564
49,Employee_49,30.0,1193
50,Employee_50,20.0,7723
51,Employee_51,50.0,1423
52,Employee_52,20.0,7383
53,Employee_53,10.0,5180
54,Employee_54,40.0,1149
55,Employee_55,30.0,5125
56,Employee_56,50.0,8015
57,Employee_57,20.0,8593
58,Employee_58,10.0,6333
59,Employee_59,40.0,7247
60,Employee_60,30.0,8665
61,Employee_61,10.0,7496
62,Employee_62,50.0,4265
63,Employee_63,10.0,2429
64,Employee_64,30.0,5867
65,Employee_65,50.0,4378
66,Employee_66,20.0,4168
67,Employee_67,30.0,5321
68,Employee_68,50.0,1748
69,Employee_69,20.0,4177
70,Employee_70,30.0,9282
71,Employee_71,50.0,1238
72,Employee_72,50.0,4748
73,Employee_73,10.0,2092
74,Employee_74,30.0,6630
75,Employee_75,30.0,1614
76,Employee_76,20.0,3432
77,Employee_77,10.0,4618
78,Employee_78,50.0,1814
79,Employee_79,50.0,6544
80,Employee_80,40.0,6984
81,Employee_81,50.0,3021
82,Employee_82,40.0,7339
83,Employee_83,40.0,1316
84,Employee_84,50.0,9903
85,Employee_85,50.0,5530
86,Employee_86,30.0,1553
87,Employee_87,30.0,7132
88,Employee_88,20.0,7243
89,Employee_89,10.0,1637
90,Employee_90,50.0,4543
91,Employee_91,10.0,4626
92,Employee_92,20.0,5707
93,Employee_93,50.0,5997
94,Employee_94,50.0,1065
95,Employee_95,50.0,6852
96,Employee_96,,7194
97,Employee_97,50.0,6010
98,Employee_98,40.0,8119
99,Employee_99,50.0,5957
100,Employee_100,30.0,2019
101,Employee_101,20.0,3998
102,Employee_102,30.0,8773
103,Employee_103,10.0,1943
104,Employee_104,50.0,3307
105,Employee_105,50.0,3246
106,Employee_106,40.0,8866
107,Employee_107,40.0,3671
108,Employee_108,30.0,1084
109,Employee_109,10.0,6688
110,Employee_110,10.0,9464
111,Employee_111,10.0,3180
112,Employee_112,40.0,4317
113,Employee_113,20.0,5597
114,Employee_114,30.0,2904
115,Employee_115,,5942
116,Employee_116,50.0,1164
117,Employee_117,30.0,1559
118,Employee_118,50.0,6859
119,Employee_119,50.0,5418
120,Employee_120,50.0,3685
121,Employee_121,10.0,2946
122,Employee_122,10.0,8334
123,Employee_123,10.0,8089
124,Employee_124,10.0,8885
125,Employee_125,40.0,3220
126,Employee_126,50.0,3141
127,Employee_127,10.0,8716
128,Employee_128,30.0,6867
129,Employee_129,40.0,9946
130,Employee_130,40.0,3871
131,Employee_131,50.0,9953
132,Employee_132,30.0,9383
133,Employee_133,40.0,4820
134,Employee_134,40.0,3011
135,Employee_135,50.0,4094
136,Employee_136,20.0,2758
137,Employee_137,50.0,3995
138,Employee_138,50.0,9544
139,Employee_139,20.0,7456
140,Employee_140,30.0,7934
141,Employee_141,30.0,4694
142,Employee_142,40.0,4636
143,Employee_143,30.0,1993
144,Employee_144,30.0,2922
145,Employee_145,30.0,7743
146,Employee_146,40.0,4210
147,Employee_147,20.0,1120
148,Employee_148,30.0,1021
149,Employee_149,10.0,9816
150,Employee_150,30.0,1922
151,Employee_151,10.0,3827
152,Employee_152,10.0,8003
153,Employee_153,20.0,8809
154,Employee_154,10.0,5529
155,Employee_155,50.0,4008
156,Employee_156,30.0,9660
157,Employee_157,30.0,6267
158,Employee_158,30.0,7727
159,Employee_159,50.0,3052
160,Employee_160,20.0,8247
161,Employee_161,30.0,2540
162,Employee_162,30.0,7980
163,Employee_163,20.0,7532
164,Employee_164,,7198
165,Employee_165,20.0,1993
166,Employee_166,40.0,4038
167,Employee_167,30.0,9349
168,Employee_168,30.0,8208
169,Employee_169,30.0,7463
170,Employee_170,,3647
171,Employee_171,50.0,8886
172,Employee_172,40.0,7258
173,Employee_173,30.0,6107
174,Employee_174,50.0,2215
175,Employee_175,10.0,2975
176,Employee_176,30.0,3172
177,Employee_177,20.0,7849
178,Employee_178,40.0,2722
179,Employee_179,50.0,2937
180,Employee_180,,1372
181,Employee_181,20.0,9769
182,Employee_182,30.0,9599
183,Employee_183,20.0,6093
184,Employee_184,30.0,3265
185,Employee_185,40.0,1429
186,Employee_186,40.0,1899
187,Employee_187,40.0,8773
188,Employee_188,20.0,6159
189,Employee_189,20.0,5668
190,Employee_190,40.0,2540
191,Employee_191,50.0,3283
192,Employee_192,50.0,4897
193,Employee_193,20.0,5468
194,Employee_194,50.0,7072
195,Employee_195,10.0,2135
196,Employee_196,30.0,2823
197,Employee_197,40.0,4411
198,Employee_198,20.0,5436
199,Employee_199,50.0,3173
200,Employee_200,10.0,3267
201,Employee_201,10.0,6517
202,Employee_202,10.0,1035
